Size,Threads,Algorithm,Time
100,4,Sequential,.0155
100,4,V1-Outer,.0155
100,4,V2-Both,.0155
100,4,V3-Dynamic,.0155
100,8,Sequential,.0149
100,8,V1-Outer,.0149
100,8,V2-Both,.0149
100,8,V3-Dynamic,.0149
100,16,Sequential,.0168
100,16,V1-Outer,.0168
100,16,V2-Both,.0168
100,16,V3-Dynamic,.0168
1000,4,Sequential,27.6090
1000,4,V1-Outer,27.6090
1000,4,V2-Both,27.6090
1000,4,V3-Dynamic,27.6090
1000,8,Sequential,27.1392
1000,8,V1-Outer,27.1392
1000,8,V2-Both,27.1392
1000,8,V3-Dynamic,27.1392
1000,16,Sequential,25.6298
1000,16,V1-Outer,25.6298
1000,16,V2-Both,25.6298
1000,16,V3-Dynamic,25.6298
